"id","name","start","end","district","category","zone","length","material","depth","lvd","mvd","hvd","activeMonth","activeYear","exitPoints__001","exitPoints__002","exitPoints__003","exitPoints__004","remarks","rut","potholes","crack","long_crack","iri","bridge","priority","mountain","single_axle_load","no_shoulder","shoulder_width","average_temperature"
"1","Adiga Mount Road","South Sheela","Mehrachester","srt","rr","n","169.29660702837967","e","6.917387662333976","2414","93.70274717527442","371","7","1987","Sainiborough","Banerjeefurt","Aagneyamouth","East Budhilhaven","Veniam natus magni dicta.","20.975675707054467","16","19","25.670527337238198","3.563754150858804","1","7.19","1","900871.8664305371","1","6.895514095738524","32.516846285417955"
"2","Kapoor Lakes Road","Tagoreton","Dwaipayanastad","srt","rr","n","22.05447036774362","c","2.4800167232812043","230","61.469157501518","1765","7","2001","Acharyafort","Port Devakfurt","New Devesh","North Shrishti","Impedit magnam esse reiciendis.","3.697661919354971","5","42","9.051519200843387","4.681725857844389","0","6.1","0","1060705.497952789","0","3.512223924999959","26.37235735231684"
"3","Bhat Islands Road","East Shashi","East Anasuya","vdd","nh","w","19.576307090913403","c","8.058394276191104","1189","91.47375936291917","1758","3","1985","Ranaview","Lake Prema","North Guru","East Dayaamaybury","Distinctio velit deleniti est fuga.","19.957086635015383","11","17","5.985465827879902","3.8497606128477604","1","7.01","1","1488527.464597641","0","4.212540677590721","32.9285427005908"
"4","Shukla Island Road","Port Dakshachester","South Acaryatanayahaven","bhj","nh","w","42.89245502989516","g","1.3772038416884036","2414","16.18865065646562","978","3","2017","Varmanbury","Patelview","Port Ekadant","Lake Rajendra","Non magni quod et.","10.212701085507987","8","40","19.774723300293267","1.8783243524530442","0","5.39","0","904644.8757647091","1","6.836301538913725","41.127372245440895"
"5","Khatri Valley Road","North Adripathi","Lake Acharyanandana","srt","nh","w","76.47465569368426","b","1.5171596868132764","3136","73.01260515273422","800","5","2007","Sitaraside","Pillatown","South Gajbaahu","Smitaville","Fugit alias voluptas libero ex id.","2.8692458283169358","15","23","8.559112707692131","1.6452959258258386","0","8.24","0","1174946.701137083","1","5.475699857092637","19.512916402959927"
"6","Verma Knoll Road","Lake Kanishkaside","Vimalfurt","rjk","rr","s","180.4566280145893","c","8.192207795486432","2253","49.34500291529529","651","1","2007","New Surya","Namboothirihaven","New Opaline","Iyertown","Est mollitia quis eligendi velit culpa odio.","3.385986013756663","8","25","16.84011597223853","4.669092671376204","0","6.25","1","835673.0184826287","1","3.4894427779096064","25.015891158629053"
"7","Iyer Common Road","North Anuraagberg","Jainbury","vdd","rr","e","22.347805878498093","b","2.675409136683231","3272","34.69011462944695","586","1","1982","New Dipesh","Port Sheelastad","Port Deeptimayee","East Apsara","Illo expedita sapiente commodi deserunt expedita itaque blanditiis.","18.707679377278055","9","22","6.605193149977361","3.7914308085602393","1","8.5","0","1447107.1101249293","1","3.534135647919684","28.575537378781295"
"8","Aanandinii Forge Road","Gunetahaven","Slokamouth","rjk","nh","s","128.9700282387638","g","3.8354822282757284","410","29.131546507264616","367","1","1990","Nambeesanbury","Duttahaven","Port Bhargavi","Port Lalita","Et et ut tempora amet sed nihil.","21.54591761855166","17","36","14.462778444267474","3.4936456862706438","0","7.3","0","743029.8492934128","0","3.1883690350986034","20.192983597865776"
"9","Chaten Union Road","New Chetanaanand","Suryakantaborough","amd","rr","n","182.92633023050448","b","2.5567640301556893","585","53.85680000181168","1135","1","1984","Gudakeshamouth","Gunetaside","South Aasafurt","East Kamaborough","Sed eum quasi est.","6.180457609261933","2","40","18.80432450701587","4.3484843853218225","0","5.12","0","1472760.0855888529","1","4.958993323434136","36.132641618198285"
"10","Anilabh Crossroad Road","Achintyachester","South Anuja","srt","rr","s","148.21490755874524","e","9.457170153788024","3051","32.48727605833823","1435","6","1992","Sainiland","East Amaranaath","Bilwaside","Kaultown","Sint est quas vitae perferendis autem et.","15.024279024135154","16","33","9.836585415605809","2.865793526553771","1","8.13","0","794776.5982225806","1","2.7312755518013514","18.72732655317457"
"11","Daksha Pike Road","Bilvahaven","Lake Tarun","bvn","nh","e","160.24589071380575","b","2.473258248192467","3688","86.8986173527046","705","6","1989","Sinhaland","North Bheeshma","West Kumari","Aayushmanmouth","Alias eum ex doloremque omnis.","6.687689644571307","4","16","19.796174779565685","5.1542968236730555","0","9.29","1","1065720.9121930455","0","3.836725201746007","32.08149139078246"
"12","Dhanadeepa Crossing Road","Purushottamborough","Ameyatmaport","vdd","rr","w","115.79598654410668","b","6.647749766617224","833","88.06825140254513","1256","11","2007","Ekakshberg","Aatreyaburgh","South Chandniburgh","Ahluwaliaview","Exercitationem provident hic quia consectetur ducimus non quia consequatur enim.","8.484400574564024","1","11","26.942254034804918","3.867613038644702","0","8.48","1","772621.5273368633","0","3.0163082848564216","41.11468540596596"
"13","Girik Tunnel Road","North Lakshmidharmouth","South Keertiberg","and","rr","e","104.51523053577078","c","2.333058454344976","575","22.07948110375384","1510","10","1992","North Sunita","Lake Jai","Port Aayushman","Priyamouth","Quasi quis aspernatur.","4.446920095640563","19","15","3.7454407728292782","5.234151777803445","1","6.17","1","917653.2458511866","1","5.615913017125171","26.240082561482414"
"14","Iyer Shores Road","Devichester","Nairfurt","srt","nr","n","150.58786988616194","e","4.005702149662009","2451","98.90395282781353","251","6","2002","Baladityaville","Vrundfurt","Adityanandanaland","Advayaview","Iusto dolorum ab eaque perspiciatis cupiditate sequi.","8.591192939487609","6","33","23.80375501922401","2.6984411101891563","1","7.13","1","1514571.9167710748","1","6.98194339654458","17.12134986747984"
"15","Bhamini Oval Road","Achintyaborough","Shivberg","vdd","nh","n","41.12134709864917","g","7.967089064624313","4338","18.925000990260266","971","12","1986","Lake Ekdant","Aroraberg","New Ankalland","Dayaanidhihaven","Consequatur sit incidunt sed laudantium neque.","21.523948801991757","9","42","9.591868589567614","5.84724355672588","1","8.49","1","1376507.6648435004","1","6.4853624451897485","14.991684051521785"
"16","Anjushri Corners Road","Sinhaport","Devanganastad","bhj","ne","s","136.21410097290735","b","6.0857721946867365","1796","96.31872431520459","340","6","1991","New Adhiraj","West Sukanyaland","Khatritown","Shivside","Dolor est ipsam itaque in.","11.809000454379948","7","32","28.260171079028297","2.472281960067316","1","8.36","0","745074.6720013916","1","3.496261568785586","36.9732492847483"
